year,month,month_name,total_orders,total_revenue
2016,9,September,1,143.46
2016,10,October,265,46490.66
2016,12,December,1,19.62
2017,1,January,750,127482.37
2017,2,February,1653,271239.32
2017,3,March,2546,414330.95
2017,4,April,2303,390812.40
2017,5,May,3546,566851.40
2017,6,June,3135,490050.37
2017,7,July,3872,566299.08
2017,8,August,4193,645832.36
2017,9,September,4150,701077.49
2017,10,October,4478,751117.01
2017,11,November,7289,1153364.20
2017,12,December,5513,843078.29
2018,1,January,7069,1077887.46
2018,2,February,6555,966168.41
2018,3,March,7003,1120598.24
2018,4,April,6798,1132878.93
2018,5,May,6749,1128774.52
2018,6,June,6099,1011978.29
2018,7,July,6159,1027807.28
2018,8,August,6351,985491.64
