customer_state,customers,orders,revenue
SP,40501,40501,5769703.15
RJ,12350,12350,2055401.57
MG,11354,11354,1818891.67
RS,5345,5345,861472.79
PR,4923,4923,781708.80
SC,3546,3546,595127.78
BA,3256,3256,591137.81
DF,2080,2080,346123.35
GO,1957,1957,334212.35
ES,1995,1995,317657.93
PE,1593,1593,308972.05
CE,1279,1279,266436.77
PA,946,946,212023.57
MT,886,886,181224.42
MA,717,717,147803.55
PB,517,517,137838.55
MS,701,701,134367.55
PI,476,476,105178.19
RN,474,474,100714.78
AL,397,397,94172.49
SE,335,335,70289.13
TO,274,274,60007.37
RO,243,243,56966.00
AM,145,145,27585.47
AC,80,80,19575.33
AP,67,67,16141.81
RR,41,41,9039.52
